,country,cdn,values
464,AE,akamai,137.57455
465,AE,akamai,128.467385
466,AE,akamai,130.57592
467,AE,akamai,128.63257
468,AE,akamai,138.251235
469,AE,akamai,137.668595
470,AE,akamai,137.654995
471,AE,akamai,128.52879
472,AE,akamai,128.494855
473,AE,akamai,128.461355
474,AE,akamai,127.82928
475,AE,akamai,127.6886
476,AE,akamai,127.75601
477,AE,akamai,137.11396
478,AE,akamai,136.504055
479,AE,akamai,136.719375
480,AE,akamai,137.315525
481,AE,akamai,137.156195
482,AE,akamai,137.33284
483,AE,akamai,127.84542
484,AE,akamai,127.810545
485,AE,akamai,129.74633
486,AE,akamai,133.445885
487,AE,akamai,134.064335
488,AE,akamai,133.57799
489,AE,akamai,128.25596
490,AE,akamai,128.04861
491,AE,akamai,128.085525
492,AE,akamai,133.942905
493,AE,akamai,133.78111
494,AE,akamai,133.837995
495,AE,akamai,128.207675
496,AE,akamai,128.52176
497,AE,akamai,128.035255
498,AE,akamai,132.517615
499,AE,akamai,133.01117
500,AE,akamai,132.58831
501,AE,akamai,127.636585
502,AE,akamai,127.37921
503,AE,akamai,128.0388
504,AE,akamai,261.155805
505,AE,akamai,260.357515
506,AE,akamai,187.61685
507,AE,akamai,188.846825
508,AE,akamai,188.5861
509,AE,akamai,188.443695
510,AE,akamai,188.708675
511,AE,akamai,188.48092
512,AE,akamai,188.52324
513,AE,akamai,260.285725
514,AE,akamai,187.601245
515,AE,akamai,187.601845
516,AE,akamai,188.84689
517,AE,akamai,188.630555
518,AE,akamai,188.6284
519,AE,akamai,257.49355
520,AE,akamai,192.27776
521,AE,akamai,192.24344
522,AE,akamai,188.99561
523,AE,akamai,188.62846
524,AE,akamai,188.82148
525,AE,akamai,257.40669
526,AE,akamai,257.387575
527,AE,akamai,257.556195
528,AE,akamai,257.55085
529,AE,akamai,187.6088
530,AE,akamai,187.685455
531,AE,akamai,188.691325
532,AE,akamai,188.718475
533,AE,akamai,188.439125
534,AE,akamai,188.688035
535,AE,akamai,188.505865
536,AE,akamai,188.526145
537,AE,akamai,257.574105
538,AE,akamai,257.46858
539,AE,akamai,190.931795
540,AE,akamai,257.56638
541,AE,akamai,257.532215
542,AE,akamai,192.19569
543,AE,akamai,188.79164
544,AE,akamai,188.699595
545,AE,akamai,188.48251
546,AE,akamai,257.419725
547,AE,akamai,257.41567
548,AE,akamai,257.367195
549,AE,akamai,188.822865
550,AE,akamai,196.34268
551,AE,akamai,189.994945
552,AE,akamai,188.73154
553,AE,akamai,188.53827
554,AE,akamai,188.630855
555,AE,akamai,257.492795
556,AE,akamai,257.361715
557,AE,akamai,257.470905
558,AE,akamai,187.274335
559,AE,akamai,187.213445
560,AE,akamai,187.206345
561,AE,akamai,188.701155
562,AE,akamai,188.594005
563,AE,akamai,188.5907
564,AE,akamai,188.78416
565,AE,akamai,188.59225
566,AE,akamai,188.57798
567,AE,akamai,187.267265
568,AE,akamai,187.374555
569,AE,akamai,187.14955
570,AE,akamai,257.976355
571,AE,akamai,222.327115
572,AE,akamai,223.77927
573,AE,akamai,235.779455
574,AE,akamai,190.804075
575,AE,akamai,222.949095
576,AE,akamai,189.624335
577,AE,akamai,189.10581
578,AE,akamai,189.17648
579,AE,akamai,187.063875
580,AE,akamai,186.96819
581,AE,akamai,187.071195
582,AE,akamai,187.43064
583,AE,akamai,187.405665
584,AE,akamai,257.84493
585,AE,akamai,188.99113
586,AE,akamai,188.70358
587,AE,akamai,188.775265
588,AE,akamai,187.457715
589,AE,akamai,187.520185
590,AE,akamai,187.445785
591,AE,akamai,188.987115
592,AE,akamai,188.79758
593,AE,akamai,188.849215
594,AE,akamai,194.72008
595,AE,akamai,194.1849
596,AE,akamai,191.042505
597,AE,akamai,193.208685
598,AE,akamai,257.80455
599,AE,akamai,189.49242
600,AE,akamai,187.55561
601,AE,akamai,187.75299
602,AE,akamai,187.4422
603,AE,akamai,188.881625
604,AE,akamai,188.675625
605,AE,akamai,188.6485
606,AE,akamai,187.46366
607,AE,akamai,257.8957
608,AE,akamai,257.814545
609,AE,akamai,188.927195
610,AE,akamai,188.783755
611,AE,akamai,188.73957
612,AE,akamai,257.957175
613,AE,akamai,187.49907
614,AE,akamai,257.782735
615,AE,akamai,188.99365
616,AE,akamai,188.82749
617,AE,akamai,188.678675
618,AE,akamai,212.29186
619,AE,akamai,204.80293
620,AE,akamai,210.413465
621,AE,akamai,201.83787
622,AE,akamai,200.40781
623,AE,akamai,209.408335
624,AE,akamai,189.35823
625,AE,akamai,189.04367
626,AE,akamai,189.07057
627,AE,akamai,190.82123
628,AE,akamai,257.82179
629,AE,akamai,187.408585
630,AE,akamai,187.48725
631,AE,akamai,196.676815
632,AE,akamai,190.89899
633,AE,akamai,189.42898
634,AE,akamai,189.124945
635,AE,akamai,189.241725
636,AE,akamai,189.414975
637,AE,akamai,189.146855
638,AE,akamai,189.296585
639,AE,akamai,192.344985
640,AE,akamai,192.28931
641,AE,akamai,191.05906
642,AE,akamai,189.43077
643,AE,akamai,191.052025
644,AE,akamai,194.24005
645,AE,akamai,257.79956
646,AE,akamai,257.829815
647,AE,akamai,190.77665
648,AE,akamai,187.50631
649,AE,akamai,257.82275
650,AE,akamai,258.028255
651,AE,akamai,189.296545
652,AE,akamai,189.219505
653,AE,akamai,189.14673
654,AE,akamai,258.159625
655,AE,akamai,187.438325
656,AE,akamai,190.702395
657,AE,akamai,189.33625
658,AE,akamai,189.33567
659,AE,akamai,189.24435
660,AE,akamai,189.296105
661,AE,akamai,189.083395
662,AE,akamai,189.092535
663,AE,akamai,192.314095
664,AE,akamai,258.02038
665,AE,akamai,257.84269
666,AE,akamai,254.99927
667,AE,akamai,207.639925
668,AE,akamai,200.505625
669,AE,akamai,198.74507
670,AE,akamai,202.49623
671,AE,akamai,200.647185
672,AE,akamai,190.508775
673,AE,akamai,190.431925
674,AE,akamai,192.498915
675,AE,akamai,192.250515
676,AE,akamai,192.06829
677,AE,akamai,191.967165
678,AE,akamai,190.51839
679,AE,akamai,192.64038
680,AE,akamai,190.439185
681,AE,akamai,192.14248
682,AE,akamai,192.076455
683,AE,akamai,192.068345
684,AE,akamai,190.56473
685,AE,akamai,192.574955
686,AE,akamai,192.54469
687,AE,akamai,192.455775
688,AE,akamai,192.25834
689,AE,akamai,191.971895
690,AE,akamai,224.8783
691,AE,akamai,229.84292
692,AE,akamai,257.87329
693,AE,akamai,239.14004
694,AE,akamai,216.71638
695,AE,akamai,248.678305
696,AE,akamai,192.200925
697,AE,akamai,191.95693
698,AE,akamai,191.95283
699,AE,akamai,190.565315
700,AE,akamai,192.612025
701,AE,akamai,257.84105
702,AE,akamai,192.241665
703,AE,akamai,192.37874
704,AE,akamai,191.989125
705,AE,akamai,257.696985
706,AE,akamai,257.55334
707,AE,akamai,190.564205
708,AE,akamai,192.62633
709,AE,akamai,192.37811
710,AE,akamai,192.559395
711,AE,akamai,192.196765
712,AE,akamai,192.25361
713,AE,akamai,192.00569
714,AE,akamai,192.309375
715,AE,akamai,192.021675
716,AE,akamai,192.444805
717,AE,akamai,192.670065
718,AE,akamai,191.1125
719,AE,akamai,190.884965
720,AE,akamai,192.764595
721,AE,akamai,257.47665
722,AE,akamai,190.848435
723,AE,akamai,192.30095
724,AE,akamai,192.13845
725,AE,akamai,192.121655
726,AE,akamai,257.669105
727,AE,akamai,192.59735
728,AE,akamai,257.45311
729,AE,akamai,192.33503
730,AE,akamai,192.11335
731,AE,akamai,192.04153
732,AE,akamai,207.917215
733,AE,akamai,190.466135
734,AE,akamai,223.57386
735,AE,akamai,199.433005
736,AE,akamai,269.24964
737,AE,akamai,269.246065
738,AE,akamai,267.048365
739,AE,akamai,270.600645
740,AE,akamai,188.608735
741,AE,akamai,296.80363
742,AE,akamai,285.36153
743,AE,akamai,298.25657
744,AE,akamai,190.83512
745,AE,akamai,190.591945
746,AE,akamai,188.4783
747,AE,akamai,190.326745
748,AE,akamai,190.1734
749,AE,akamai,190.26783
750,AE,akamai,188.62789
751,AE,akamai,190.56342
752,AE,akamai,190.71582
753,AE,akamai,190.508545
754,AE,akamai,190.28283
755,AE,akamai,190.18746
756,AE,akamai,257.99869
757,AE,akamai,193.506185
758,AE,akamai,190.83338
759,AE,akamai,191.092375
760,AE,akamai,192.7001
761,AE,akamai,190.25987
762,AE,akamai,254.488195
763,AE,akamai,266.878915
764,AE,akamai,268.66733
765,AE,akamai,258.02522
766,AE,akamai,257.826475
767,AE,akamai,257.821775
768,AE,akamai,264.555345
769,AE,akamai,264.544905
770,AE,akamai,190.593185
771,AE,akamai,190.431
772,AE,akamai,190.259005
773,AE,akamai,190.18873
774,AE,akamai,190.37563
775,AE,akamai,190.17955
776,AE,akamai,190.2368
777,AE,akamai,264.5831
778,AE,akamai,264.500155
779,AE,akamai,190.53558
780,AE,akamai,190.558525
781,AE,akamai,190.088995
782,AE,akamai,190.133465
783,AE,akamai,269.334195
784,AE,akamai,269.327945
785,AE,akamai,264.18202
786,AE,akamai,189.34627
787,AE,akamai,189.1543
788,AE,akamai,189.101105
789,AE,akamai,267.958045
790,AE,akamai,269.206305
791,AE,akamai,269.449825
792,AE,akamai,190.509685
793,AE,akamai,190.462715
794,AE,akamai,190.299935
795,AE,akamai,189.70322
796,AE,akamai,264.24165
797,AE,akamai,189.609075
798,AE,akamai,269.408535
799,AE,akamai,189.546855
800,AE,akamai,269.317695
801,AE,akamai,190.62497
802,AE,akamai,190.2412
803,AE,akamai,190.300475
804,AE,akamai,189.635825
805,AE,akamai,269.138125
806,AE,akamai,269.111245
807,AE,akamai,190.50738
808,AE,akamai,190.321995
809,AE,akamai,190.384365
